ID,NOMBRE,DIA,HORARIO,SALA,CANTIDAD ENTRADAS,MONTO FACTURADO
1,Mapa,3,13,:,7,4,27,0.000000
2,Like Someone in Love,4,13,:,6,1,11,0.000000
3,Vic+Flo ont vu un ours,4,0,:,32,3,18,0.000000
4,Al fin llegó el amor,2,23,:,22,4,16,0.000000
5,Ricardo Bí¤r,5,5,:,29,4,2,700.000000
6,Corea,5,7,:,51,2,30,0.000000
7,Joven y alocada,5,19,:,16,4,12,0.000000
8,Dad,1,17,:,52,2,23,0.000000
9,The Scorsese Machine,1,13,:,14,4,2,480.000000
10,Carbon,3,7,:,56,1,3,720.000000
11,Orléans,1,7,:,34,3,20,0.000000
12,Men in the Ring,3,15,:,43,3,31,0.000000
13,El loro y el cisne,6,20,:,25,1,3,1050.000000
14,Il Gemello,1,14,:,6,1,11,0.000000
15,John Cassavetes,1,14,:,44,3,12,0.000000
16,La banda que buscó el sonido debajo,2,16,:,4,5,10,0.000000
17,Un sueÃ±o  recurrente,4,6,:,15,2,7,0.000000
18,O anjo nasceu,6,4,:,56,3,26,0.000000
19,Citadel,5,14,:,54,2,38,0.000000
20,Tale of Cinema,6,9,:,33,1,14,0.000000
21,A Story for the Modlins,3,20,:,10,1,22,0.000000
22,Lazos perversos,3,9,:,56,3,4,0.000000
23,Visiting our neighbours,5,21,:,22,3,4,0.000000
24,AB,6,11,:,29,5,28,0.000000
25,Bob Wilson's Life & Death of Marina Abramovic,6,21,:,57,1,29,0.000000
26,Hahaha,4,17,:,2,1,15,0.000000
27,Tchoupitoulas,2,21,:,32,1,12,0.000000
28,Post Tenebras Lux,3,16,:,25,2,3,720.000000
29,No olvidar,4,9,:,53,1,3,1050.000000
30,The Dark Side of the Moon,2,18,:,7,4,8,0.000000
31,Berlin Horse,1,4,:,53,5,16,0.000000
32,Caspinchango,2,23,:,36,4,1,240.000000
33,Rodencia y el diente  de la princesa,2,7,:,43,4,4,0.000000
34,Z.U.G.A.,4,14,:,55,1,4,0.000000
35,Moon Man,2,23,:,39,1,6,0.000000
36,Concrete forms,5,18,:,58,5,39,0.000000
37,Noche,6,20,:,52,4,6,0.000000
38,Nyosha,2,4,:,5,1,25,0.000000
39,Hahaha,5,18,:,51,3,26,0.000000
40,Family Holiday,5,15,:,40,4,20,0.000000
41,AÃ±os de calle,6,6,:,1,1,8,0.000000
42,El estudiante,4,2,:,17,1,30,0.000000
43,The ABCs of Death,2,14,:,21,1,30,0.000000
44,Nyosha,6,22,:,28,1,29,0.000000
45,Gebo et l'ombre,5,18,:,38,3,13,0.000000
46,Hawaii,1,19,:,52,2,22,0.000000
47,Metamorphosen,3,12,:,44,3,34,0.000000
48,O gigante da América,3,19,:,42,4,20,0.000000
49,Na vibración,5,5,:,2,2,31,0.000000
50,Meeting Leila,2,23,:,8,3,19,0.000000
51,David Lynch: Don't Look at Me,2,16,:,15,4,22,0.000000
52,Aguamadre,5,15,:,5,5,26,0.000000
53,Like Someone in Love,2,8,:,43,3,8,0.000000
54,Volar,5,7,:,43,1,10,0.000000
55,SueÃ±os de hielo,2,3,:,29,1,25,0.000000
56,Tres cortos isralí­es,3,8,:,26,1,9,0.000000
57,Taller de flamenco,2,4,:,37,2,38,0.000000
58,The Silent Star,1,9,:,27,5,35,0.000000
59,Au bout du conte,6,1,:,7,4,7,0.000000
60,Dad,1,15,:,8,3,1,240.000000
61,La gente del rí­o,5,9,:,42,3,6,0.000000
62,salvata dai filibustieri,2,12,:,11,1,34,0.000000
63,Ovos de dinossauro  na sala de estar,2,15,:,44,3,33,0.000000
64,Chiri/Trace,1,12,:,20,5,30,0.000000
65,Moon Man,1,21,:,15,1,3,720.000000
66,She Performs!,4,12,:,26,5,2,700.000000
67,El gran simulador,5,11,:,44,3,26,0.000000
68,Katzenhimmel,2,21,:,56,3,20,0.000000
69,Mouth Wide Open,3,14,:,6,3,8,0.000000
70,Cortos de Kurdwin Ayub,4,20,:,26,5,4,0.000000
71,MontaÃ±a en sombra,4,9,:,1,3,5,0.000000
72,La discoteca del amor,5,9,:,15,1,35,0.000000
73,Monuments,1,16,:,0,5,5,0.000000
74,More Than Honey,6,9,:,11,5,31,0.000000
75,In Another Country,2,13,:,39,4,22,0.000000
76,Bob Wilson's Life & Death of Marina Abramovic,2,19,:,39,4,7,0.000000
77,El Olimpo vací­o,6,16,:,49,2,13,0.000000
78,As ondas,4,23,:,27,2,22,0.000000
79,MontaÃ±a en sombra,3,10,:,20,5,16,0.000000
80,Kiltro,5,4,:,47,5,16,0.000000
81,Woman Is the Future of Man,6,6,:,45,2,5,0.000000
82,Hahaha,1,21,:,30,2,23,0.000000
83,De occulta philosophia,6,10,:,17,5,37,0.000000
84,Reconversí£o,1,5,:,10,1,1,240.000000
85,Hasenzahn,1,13,:,26,1,4,0.000000
86,Adele 1,2,1,:,3,2,30,0.000000
87,Chiri/Trace,5,12,:,14,1,14,0.000000
88,Metamorphosen,2,1,:,17,1,11,0.000000
89,Radiografí­a del desierto,4,0,:,29,2,36,0.000000
90,O som ao redor,1,14,:,21,4,9,0.000000
91,El último asado,3,1,:,27,2,33,0.000000
92,El gran simulador,1,9,:,25,5,37,0.000000
93,A erva do rato,2,13,:,35,2,32,0.000000
94,La república perdida,3,8,:,24,2,2,480.000000
95,Beatriz Portinari. Un documental sobre  Aurora Venturini,3,15,:,25,1,9,0.000000
96,The Punk Syndrome,1,11,:,44,1,23,0.000000
97,Lazos perversos,4,14,:,15,4,3,1050.000000
98,El dí­a trajo la oscuridad,2,0,:,26,2,25,0.000000
99,Meeting Leila,4,20,:,47,4,36,0.000000
100,Paul Williams Still Alive,4,1,:,1,1,33,0.000000
101,Winter,3,7,:,57,2,26,0.000000
102,Kiltro,3,17,:,18,1,33,0.000000
103,La playa del amor,3,22,:,8,2,12,0.000000
104,Anina,2,21,:,55,1,13,0.000000
105,Bernadette,2,0,:,12,3,13,0.000000
106,In Search of Blind Joe Death - The Saga of John Fahey,4,6,:,24,2,20,0.000000
107,My First Mountain,1,13,:,45,5,39,0.000000
