ID,NOMBRE,DIA,HORARIO,SALA,CANTIDAD ENTRADAS,MONTO FACTURADO
1,Mapa,13:7,3,4,27,0.000000
2,Like Someone in Love,13:6,4,1,11,0.000000
3,Vic+Flo ont vu un ours,0:32,4,3,18,0.000000
4,Al fin llegó el amor,23:22,2,4,16,0.000000
5,Ricardo Bí¤r,5:29,5,4,2,700.000000
6,Corea,7:51,5,2,30,0.000000
7,Joven y alocada,19:16,5,4,12,0.000000
8,Dad,17:52,1,2,23,0.000000
9,The Scorsese Machine,13:14,1,4,2,480.000000
10,Carbon,7:56,3,1,3,720.000000
11,Orléans,7:34,1,3,20,0.000000
12,Men in the Ring,15:43,3,3,31,0.000000
13,El loro y el cisne,20:25,6,1,3,1050.000000
14,Il Gemello,14:6,1,1,11,0.000000
15,John Cassavetes,14:44,1,3,12,0.000000
16,La banda que buscó el sonido debajo,16:4,2,5,10,0.000000
17,Un sueÃ±o  recurrente,6:15,4,2,7,0.000000
18,O anjo nasceu,4:56,6,3,26,0.000000
19,Citadel,14:54,5,2,38,0.000000
20,Tale of Cinema,9:33,6,1,14,0.000000
21,A Story for the Modlins,20:10,3,1,22,0.000000
22,Lazos perversos,9:56,3,3,4,0.000000
23,Visiting our neighbours,21:22,5,3,4,0.000000
24,AB,11:29,6,5,28,0.000000
25,Bob Wilson's Life & Death of Marina Abramovic,21:57,6,1,29,0.000000
26,Hahaha,17:2,4,1,15,0.000000
27,Tchoupitoulas,21:32,2,1,12,0.000000
28,Post Tenebras Lux,16:25,3,2,3,720.000000
29,No olvidar,9:53,4,1,3,1050.000000
30,The Dark Side of the Moon,18:7,2,4,8,0.000000
31,Berlin Horse,4:53,1,5,16,0.000000
32,Caspinchango,23:36,2,4,1,240.000000
33,Rodencia y el diente  de la princesa,7:43,2,4,4,0.000000
34,Z.U.G.A.,14:55,4,1,4,0.000000
35,Moon Man,23:39,2,1,6,0.000000
36,Concrete forms,18:58,5,5,39,0.000000
37,Noche,20:52,6,4,6,0.000000
38,Nyosha,4:5,2,1,25,0.000000
39,Hahaha,18:51,5,3,26,0.000000
40,Family Holiday,15:40,5,4,20,0.000000
41,AÃ±os de calle,6:1,6,1,8,0.000000
42,El estudiante,2:17,4,1,30,0.000000
43,The ABCs of Death,14:21,2,1,30,0.000000
44,Nyosha,22:28,6,1,29,0.000000
45,Gebo et l'ombre,18:38,5,3,13,0.000000
46,Hawaii,19:52,1,2,22,0.000000
47,Metamorphosen,12:44,3,3,34,0.000000
48,O gigante da América,19:42,3,4,20,0.000000
49,Na vibración,5:2,5,2,31,0.000000
50,Meeting Leila,23:8,2,3,19,0.000000
51,David Lynch: Don't Look at Me,16:15,2,4,22,0.000000
52,Aguamadre,15:5,5,5,26,0.000000
53,Like Someone in Love,8:43,2,3,8,0.000000
54,Volar,7:43,5,1,10,0.000000
55,SueÃ±os de hielo,3:29,2,1,25,0.000000
56,Tres cortos isralí­es,8:26,3,1,9,0.000000
57,Taller de flamenco,4:37,2,2,38,0.000000
58,The Silent Star,9:27,1,5,35,0.000000
59,Au bout du conte,1:7,6,4,7,0.000000
60,Dad,15:8,1,3,1,240.000000
61,La gente del rí­o,9:42,5,3,6,0.000000
62,salvata dai filibustieri,12:11,2,1,34,0.000000
63,Ovos de dinossauro  na sala de estar,15:44,2,3,33,0.000000
64,Chiri/Trace,12:20,1,5,30,0.000000
65,Moon Man,21:15,1,1,3,720.000000
66,She Performs!,12:26,4,5,2,700.000000
67,El gran simulador,11:44,5,3,26,0.000000
68,Katzenhimmel,21:56,2,3,20,0.000000
69,Mouth Wide Open,14:6,3,3,8,0.000000
70,Cortos de Kurdwin Ayub,20:26,4,5,4,0.000000
71,MontaÃ±a en sombra,9:1,4,3,5,0.000000
72,La discoteca del amor,9:15,5,1,35,0.000000
73,Monuments,16:0,1,5,5,0.000000
74,More Than Honey,9:11,6,5,31,0.000000
75,In Another Country,13:39,2,4,22,0.000000
76,Bob Wilson's Life & Death of Marina Abramovic,19:39,2,4,7,0.000000
77,El Olimpo vací­o,16:49,6,2,13,0.000000
78,As ondas,23:27,4,2,22,0.000000
79,MontaÃ±a en sombra,10:20,3,5,16,0.000000
80,Kiltro,4:47,5,5,16,0.000000
81,Woman Is the Future of Man,6:45,6,2,5,0.000000
82,Hahaha,21:30,1,2,23,0.000000
83,De occulta philosophia,10:17,6,5,37,0.000000
84,Reconversí£o,5:10,1,1,1,240.000000
85,Hasenzahn,13:26,1,1,4,0.000000
86,Adele 1,1:3,2,2,30,0.000000
87,Chiri/Trace,12:14,5,1,14,0.000000
88,Metamorphosen,1:17,2,1,11,0.000000
89,Radiografí­a del desierto,0:29,4,2,36,0.000000
90,O som ao redor,14:21,1,4,9,0.000000
91,El último asado,1:27,3,2,33,0.000000
92,El gran simulador,9:25,1,5,37,0.000000
93,A erva do rato,13:35,2,2,32,0.000000
94,La república perdida,8:24,3,2,2,480.000000
95,Beatriz Portinari. Un documental sobre  Aurora Venturini,15:25,3,1,9,0.000000
96,The Punk Syndrome,11:44,1,1,23,0.000000
97,Lazos perversos,14:15,4,4,3,1050.000000
98,El dí­a trajo la oscuridad,0:26,2,2,25,0.000000
99,Meeting Leila,20:47,4,4,36,0.000000
100,Paul Williams Still Alive,1:1,4,1,33,0.000000
101,Winter,7:57,3,2,26,0.000000
102,Kiltro,17:18,3,1,33,0.000000
103,La playa del amor,22:8,3,2,12,0.000000
104,Anina,21:55,2,1,13,0.000000
105,Bernadette,0:12,2,3,13,0.000000
106,In Search of Blind Joe Death - The Saga of John Fahey,6:24,4,2,20,0.000000
107,My First Mountain,13:45,1,5,39,0.000000
108,Woman Is the Future of Man,20:52,1,2,31,0.000000
