id_venta,nombre_pelicula,dia,horario,sala,cantidad_entradas
1,Mapa,3,13:07,4,27
2,Like Someone in Love,4,13:06,1,11
3,Vic+Flo ont vu un ours,4,0:32,3,18
4,Al fin llegó el amor,2,23:22,4,16
5,Ricardo Bí¤r,5,5:29,4,2
6,Corea,5,7:51,2,30
7,Joven y alocada,5,19:16,4,12
8,Dad,1,17:52,2,23
9,The Scorsese Machine,1,13:14,4,2
10,Carbon,3,7:56,1,3
11,Orléans,1,7:34,3,20
12,Men in the Ring,3,15:43,3,31
13,El loro y el cisne,6,20:25,1,3
14,Il Gemello,1,14:06,1,11
15,John Cassavetes,1,14:44,3,12
16,La banda que buscó el sonido debajo,2,16:04,5,10
17,Un sueÃ±o  recurrente,4,6:15,2,7
18,O anjo nasceu,6,4:56,3,26
19,Citadel,5,14:54,2,38
20,Tale of Cinema,6,9:33,1,14
21,A Story for the Modlins,3,20:10,1,22
22,Lazos perversos,3,9:56,3,4
23,Visiting our neighbours,5,21:22,3,4
24,AB,6,11:29,5,28
25,Bob Wilson's Life & Death of Marina Abramovic,6,21:57,1,29
26,Hahaha,4,17:02,1,15
27,Tchoupitoulas,2,21:32,1,12
28,Post Tenebras Lux,3,16:25,2,3
29,No olvidar,4,9:53,1,3
30,The Dark Side of the Moon,2,18:07,4,8
31,Berlin Horse,1,4:53,5,16
32,Caspinchango,2,23:36,4,1
33,Rodencia y el diente  de la princesa,2,7:43,4,4
34,Z.U.G.A.,4,14:55,1,4
35,Moon Man,2,23:39,1,6
36,Concrete forms,5,18:58,5,39
37,Noche,6,20:52,4,6
38,Nyosha,2,4:05,1,25
39,Hahaha,5,18:51,3,26
40,Family Holiday,5,15:40,4,20
41,AÃ±os de calle,6,6:01,1,8
42,El estudiante,4,2:17,1,30
43,The ABCs of Death,2,14:21,1,30
44,Nyosha,6,22:28,1,29
45,Gebo et l'ombre,5,18:38,3,13
46,Hawaii,1,19:52,2,22
47,Metamorphosen,3,12:44,3,34
48,O gigante da América,3,19:42,4,20
49,Na vibración,5,5:02,2,31
50,Meeting Leila,2,23:08,3,19
51,David Lynch: Don't Look at Me,2,16:15,4,22
52,Aguamadre,5,15:05,5,26
53,Like Someone in Love,2,8:43,3,8
54,Volar,5,7:43,1,10
55,SueÃ±os de hielo,2,3:29,1,25
56,Tres cortos isralí­es,3,8:26,1,9
57,Taller de flamenco,2,4:37,2,38
58,The Silent Star,1,9:27,5,35
59,Au bout du conte,6,1:07,4,7
60,Dad,1,15:08,3,1
61,La gente del rí­o,5,9:42,3,6
62,salvata dai filibustieri,2,12:11,1,34
63,Ovos de dinossauro  na sala de estar,2,15:44,3,33
64,Chiri/Trace,1,12:20,5,30
65,Moon Man,1,21:15,1,3
66,She Performs!,4,12:26,5,2
67,El gran simulador,5,11:44,3,26
68,Katzenhimmel,2,21:56,3,20
69,Mouth Wide Open,3,14:06,3,8
70,Cortos de Kurdwin Ayub,4,20:26,5,4
71,MontaÃ±a en sombra,4,9:01,3,5
72,La discoteca del amor,5,9:15,1,35
73,Monuments,1,16:00,5,5
74,More Than Honey,6,9:11,5,31
75,In Another Country,2,13:39,4,22
76,Bob Wilson's Life & Death of Marina Abramovic,2,19:39,4,7
77,El Olimpo vací­o,6,16:49,2,13
78,As ondas,4,23:27,2,22
79,MontaÃ±a en sombra,3,10:20,5,16
80,Kiltro,5,4:47,5,16
81,Woman Is the Future of Man,6,6:45,2,5
82,Hahaha,1,21:30,2,23
83,De occulta philosophia,6,10:17,5,37
84,Reconversí£o,1,5:10,1,1
85,Hasenzahn,1,13:26,1,4
86,Adele 1,2,1:03,2,30
87,Chiri/Trace,5,12:14,1,14
88,Metamorphosen,2,1:17,1,11
89,Radiografí­a del desierto,4,0:29,2,36
90,O som ao redor,1,14:21,4,9
91,El último asado,3,1:27,2,33
92,El gran simulador,1,9:25,5,37
93,A erva do rato,2,13:35,2,32
94,La república perdida,3,8:24,2,2
95,Beatriz Portinari. Un documental sobre  Aurora Venturini,3,15:25,1,9
96,The Punk Syndrome,1,11:44,1,23
97,Lazos perversos,4,14:15,4,3
98,El dí­a trajo la oscuridad,2,0:26,2,25
99,Meeting Leila,4,20:47,4,36
100,Paul Williams Still Alive,4,1:01,1,33
101,Winter,3,7:57,2,26
102,Kiltro,3,17:18,1,33
103,La playa del amor,3,22:08,2,12
104,Anina,2,21:55,1,13
105,Bernadette,2,0:12,3,13
106,In Search of Blind Joe Death - The Saga of John Fahey,4,6:24,2,20
107,My First Mountain,1,13:45,5,39
108,Woman Is the Future of Man,1,20:52,2,31
109,Al fin llegó el amor,4,20:07,3,40
110,The Day a Pig Fell into a Well,6,15:15,4,12
111,Ovos de dinossauro  na sala de estar,6,15:28,2,1
112,Death Metal Angola,4,10:58,4,7
113,Woman Is the Future of Man,4,12:28,2,37
114,Nyosha,2,13:56,4,29
115,Museum Hours,5,1:13,1,20
116,Deshora,1,22:47,1,10
117,Rodencia y el diente  de la princesa,5,11:36,3,14
118,Much Ado About Nothing,4,1:28,1,35
119,Mekong Hotel,1,1:06,3,27
120,Las calles de mi ciudad,5,21:12,1,19
121,Marina Abramovic: The Artist Is Present,3,23:07,5,8
122,Mekong Hotel,5,0:50,1,24
123,Antonio Gil,2,0:13,5,16
124,Neón,3,11:59,1,23
125,Family Holiday,6,15:09,5,18
126,Peaches Does Herself,1,15:17,5,20
127,Falls Burns Malone Fiddles,2,1:45,3,20
128,Imágenes Paganas,5,0:35,5,12
129,Lazos perversos,5,14:49,1,40
130,Joyful Girl,4,2:33,3,5
131,The Town of Whales,2,10:54,3,10
132,VidaExtra,6,7:22,5,40
133,La casa del sol naciente,3,0:55,2,20
134,Nyosha,1,0:22,1,23
135,Disparos,5,1:49,3,13
136,La mosca,5,9:18,2,6
137,El aÃ±o pasado en Mardelplá,6,23:52,1,31
138,Paisaje-Duración  (Carretera / Rocas),1,16:40,2,17
139,Paisaje-Duración  (Carretera / Rocas),6,14:36,4,7
140,Mujer lobo,6,21:56,1,39
141,Mapa,2,1:13,2,26
142,TPB AFK: The Pirate Bay Away From Keyboard,4,8:36,3,20
143,Sí¼den,5,14:21,5,3
144,Chicama,3,6:35,4,39
145,Tan de repente,6,2:48,5,10
146,Chiri/Trace,4,23:18,5,8
147,Habi,1,13:09,1,19
148,Jimmy's End,5,5:11,3,28
149,Avanti popolo,5,15:17,5,20
150,Trapero x 3,2,23:20,4,11
151,Ouvir o rio: Uma escultura sonora de Cildo Meireles,1,5:01,2,7
152,Zona mutante,3,0:49,1,13
153,Eu receberia as piores notí­cias dos seus lindos lábios,6,14:30,2,21
154,El árbol,1,15:01,5,37
155,Oki's Movie,2,18:42,4,34
156,Le Monde est comme í§a,6,5:05,2,26
157,Las calles de mi ciudad,5,1:37,3,7
158,A última vez que vi Macau,5,23:10,4,27
159,Brás Cubas,5,15:30,1,30
160,Sinais de serenidade por coisas sem sentido,3,13:03,5,7
161,La mamá de mi abuela le contó a mi abuela,6,23:10,3,5
162,Viola,4,19:18,1,39
163,La banda que buscó el sonido debajo,2,18:52,2,17
164,Lugares comunes,1,18:00,3,38
165,Tanta agua,6,20:00,5,17
166,Hijas del rí­o,6,11:03,3,36
