ID,NOMBRE,DIA,HORARIO,SALA,CANTIDAD ENTRADAS,MONTO FACTURADO
1,Mapa,3,13:7,4,27,5832.00
2,Like Someone in Love,4,13:6,1,11,3465.00
3,Vic+Flo ont vu un ours,4,0:32,3,18,5670.00
4,Al fin llegó el amor,2,23:22,4,16,3456.00
5,Ricardo Bí¤r,5,5:29,4,2,700.00
6,Corea,5,7:51,2,30,9450.00
7,Joven y alocada,5,19:16,4,12,3780.00
8,Dad,1,17:52,2,23,4968.00
9,The Scorsese Machine,1,13:14,4,2,480.00
10,Carbon,3,7:56,1,3,720.00
11,Orléans,1,7:34,3,20,4320.00
12,Men in the Ring,3,15:43,3,31,6696.00
13,El loro y el cisne,6,20:25,1,3,1050.00
14,Il Gemello,1,14:6,1,11,2376.00
15,John Cassavetes,1,14:44,3,12,2592.00
16,La banda que buscó el sonido debajo,2,16:4,5,10,2160.00
17,Un sueÃ±o  recurrente,4,6:15,2,7,2205.00
18,O anjo nasceu,6,4:56,3,26,8190.00
19,Citadel,5,14:54,2,38,11970.00
20,Tale of Cinema,6,9:33,1,14,4410.00
21,A Story for the Modlins,3,20:10,1,22,4752.00
22,Lazos perversos,3,9:56,3,4,864.00
23,Visiting our neighbours,5,21:22,3,4,1260.00
24,AB,6,11:29,5,28,8820.00
25,Bob Wilson's Life & Death of Marina Abramovic,6,21:57,1,29,9135.00
26,Hahaha,4,17:2,1,15,4725.00
27,Tchoupitoulas,2,21:32,1,12,2592.00
28,Post Tenebras Lux,3,16:25,2,3,720.00
29,No olvidar,4,9:53,1,3,1050.00
30,The Dark Side of the Moon,2,18:7,4,8,1728.00
31,Berlin Horse,1,4:53,5,16,3456.00
32,Caspinchango,2,23:36,4,1,240.00
33,Rodencia y el diente  de la princesa,2,7:43,4,4,864.00
34,Z.U.G.A.,4,14:55,1,4,1260.00
35,Moon Man,2,23:39,1,6,1296.00
36,Concrete forms,5,18:58,5,39,12285.00
37,Noche,6,20:52,4,6,1890.00
38,Nyosha,2,4:5,1,25,5400.00
39,Hahaha,5,18:51,3,26,8190.00
40,Family Holiday,5,15:40,4,20,6300.00
41,AÃ±os de calle,6,6:1,1,8,2520.00
42,El estudiante,4,2:17,1,30,9450.00
43,The ABCs of Death,2,14:21,1,30,6480.00
44,Nyosha,6,22:28,1,29,9135.00
45,Gebo et l'ombre,5,18:38,3,13,4095.00
46,Hawaii,1,19:52,2,22,4752.00
47,Metamorphosen,3,12:44,3,34,7344.00
48,O gigante da América,3,19:42,4,20,4320.00
49,Na vibración,5,5:2,2,31,9765.00
50,Meeting Leila,2,23:8,3,19,4104.00
51,David Lynch: Don't Look at Me,2,16:15,4,22,4752.00
52,Aguamadre,5,15:5,5,26,8190.00
53,Like Someone in Love,2,8:43,3,8,1728.00
54,Volar,5,7:43,1,10,3150.00
55,SueÃ±os de hielo,2,3:29,1,25,5400.00
56,Tres cortos isralí­es,3,8:26,1,9,1944.00
57,Taller de flamenco,2,4:37,2,38,8208.00
58,The Silent Star,1,9:27,5,35,7560.00
59,Au bout du conte,6,1:7,4,7,2205.00
60,Dad,1,15:8,3,1,240.00
61,La gente del rí­o,5,9:42,3,6,1890.00
62,salvata dai filibustieri,2,12:11,1,34,7344.00
63,Ovos de dinossauro  na sala de estar,2,15:44,3,33,7128.00
64,Chiri/Trace,1,12:20,5,30,6480.00
65,Moon Man,1,21:15,1,3,720.00
66,She Performs!,4,12:26,5,2,700.00
67,El gran simulador,5,11:44,3,26,8190.00
68,Katzenhimmel,2,21:56,3,20,4320.00
69,Mouth Wide Open,3,14:6,3,8,1728.00
70,Cortos de Kurdwin Ayub,4,20:26,5,4,1260.00
71,MontaÃ±a en sombra,4,9:1,3,5,1575.00
72,La discoteca del amor,5,9:15,1,35,11025.00
73,Monuments,1,16:0,5,5,1080.00
74,More Than Honey,6,9:11,5,31,9765.00
75,In Another Country,2,13:39,4,22,4752.00
76,Bob Wilson's Life & Death of Marina Abramovic,2,19:39,4,7,1512.00
77,El Olimpo vací­o,6,16:49,2,13,4095.00
78,As ondas,4,23:27,2,22,6930.00
79,MontaÃ±a en sombra,3,10:20,5,16,3456.00
80,Kiltro,5,4:47,5,16,5040.00
81,Woman Is the Future of Man,6,6:45,2,5,1575.00
82,Hahaha,1,21:30,2,23,4968.00
83,De occulta philosophia,6,10:17,5,37,11655.00
84,Reconversí£o,1,5:10,1,1,240.00
85,Hasenzahn,1,13:26,1,4,864.00
86,Adele 1,2,1:3,2,30,6480.00
87,Chiri/Trace,5,12:14,1,14,4410.00
88,Metamorphosen,2,1:17,1,11,2376.00
89,Radiografí­a del desierto,4,0:29,2,36,11340.00
90,O som ao redor,1,14:21,4,9,1944.00
91,El último asado,3,1:27,2,33,7128.00
92,El gran simulador,1,9:25,5,37,7992.00
93,A erva do rato,2,13:35,2,32,6912.00
94,La república perdida,3,8:24,2,2,480.00
95,Beatriz Portinari. Un documental sobre  Aurora Venturini,3,15:25,1,9,1944.00
96,The Punk Syndrome,1,11:44,1,23,4968.00
97,Lazos perversos,4,14:15,4,3,1050.00
98,El dí­a trajo la oscuridad,2,0:26,2,25,5400.00
99,Meeting Leila,4,20:47,4,36,11340.00
100,Paul Williams Still Alive,4,1:1,1,33,10395.00
101,Winter,3,7:57,2,26,5616.00
102,Kiltro,3,17:18,1,33,7128.00
103,La playa del amor,3,22:8,2,12,2592.00
104,Anina,2,21:55,1,13,2808.00
105,Bernadette,2,0:12,3,13,2808.00
106,In Search of Blind Joe Death - The Saga of John Fahey,4,6:24,2,20,6300.00
107,My First Mountain,1,13:45,5,39,8424.00
108,Woman Is the Future of Man,1,20:52,2,31,6696.00
109,Al fin llegó el amor,4,20:7,3,40,12600.00
110,The Day a Pig Fell into a Well,6,15:15,4,12,3780.00
111,Ovos de dinossauro  na sala de estar,6,15:28,2,1,350.00
112,Death Metal Angola,4,10:58,4,7,2205.00
113,Woman Is the Future of Man,4,12:28,2,37,11655.00
114,Nyosha,2,13:56,4,29,6264.00
115,Museum Hours,5,1:13,1,20,6300.00
116,Deshora,1,22:47,1,10,2160.00
117,Rodencia y el diente  de la princesa,5,11:36,3,14,4410.00
118,Much Ado About Nothing,4,1:28,1,35,11025.00
119,Mekong Hotel,1,1:6,3,27,5832.00
120,Las calles de mi ciudad,5,21:12,1,19,5985.00
121,Marina Abramovic: The Artist Is Present,3,23:7,5,8,1728.00
122,Mekong Hotel,5,0:50,1,24,7560.00
123,Antonio Gil,2,0:13,5,16,3456.00
124,Neón,3,11:59,1,23,4968.00
125,Family Holiday,6,15:9,5,18,5670.00
126,Peaches Does Herself,1,15:17,5,20,4320.00
127,Falls Burns Malone Fiddles,2,1:45,3,20,4320.00
128,Imágenes Paganas,5,0:35,5,12,3780.00
129,Lazos perversos,5,14:49,1,40,12600.00
130,Joyful Girl,4,2:33,3,5,1575.00
131,The Town of Whales,2,10:54,3,10,2160.00
132,VidaExtra,6,7:22,5,40,12600.00
133,La casa del sol naciente,3,0:55,2,20,4320.00
134,Nyosha,1,0:22,1,23,4968.00
135,Disparos,5,1:49,3,13,4095.00
136,La mosca,5,9:18,2,6,1890.00
137,El aÃ±o pasado en Mardelplá,6,23:52,1,31,9765.00
138,Paisaje-Duración  (Carretera / Rocas),1,16:40,2,17,3672.00
139,Paisaje-Duración  (Carretera / Rocas),6,14:36,4,7,2205.00
140,Mujer lobo,6,21:56,1,39,12285.00
141,Mapa,2,1:13,2,26,5616.00
